Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
61,61,3/18/2011,23-004,GSW,@,PHO,L (-11),1,34:40:00,6,13,0.462,2,5,0.4,1,1,1,1,1,2,5,0,0,2,3,15,9.6,-18
62,62,3/20/2011,23-006,GSW,@,DAL,L (-28),1,31:02:00,4,12,0.333,1,3,0.333,2,3,0.667,1,5,6,6,0,0,2,4,11,6.6,-8
63,63,3/21/2011,23-007,GSW,@,SAS,L (-15),1,19:57,3,8,0.375,1,2,0.5,1,1,1,0,0,0,2,0,0,1,4,8,2.4,-12
64,64,3/23/2011,23-009,GSW,@,HOU,L (-19),1,29:58:00,7,16,0.438,2,3,0.667,0,0,,3,3,6,6,1,0,4,4,16,10.2,-14
65,65,3/25/2011,23-011,GSW,,TOR,W (+38),1,36:19:00,7,13,0.538,4,6,0.667,5,5,1,0,3,3,8,0,0,3,2,23,19.4,43
66,66,3/27/2011,23-013,GSW,,WAS,W (+10),1,28:17:00,3,11,0.273,1,4,0.25,3,3,1,1,4,5,4,1,1,5,5,10,2.9,11
67,67,3/29/2011,23-015,GSW,@,OKC,L (-1),1,48:31:00,13,23,0.565,5,8,0.625,4,4,1,1,5,6,5,2,0,6,3,35,24.6,6
68,68,3/30/2011,23-016,GSW,@,MEM,L (-19),1,31:05:00,2,14,0.143,1,6,0.167,1,1,1,4,2,6,9,1,0,6,4,6,0.1,-21
69,69,4/2/2011,23-019,GSW,,DAL,W (+7),1,31:31:00,3,8,0.375,1,3,0.333,5,5,1,0,4,4,8,2,0,3,5,12,11.4,9
70,70,4/5/2011,23-022,GSW,@,POR,W (+21),1,42:06:00,10,21,0.476,3,5,0.6,5,6,0.833,1,7,8,4,2,1,2,2,28,22.4,20
71,71,4/6/2011,23-023,GSW,,LAL,W (+8),1,42:05:00,8,23,0.348,2,6,0.333,2,2,1,2,4,6,5,2,0,2,3,20,12,2
72,72,4/10/2011,23-027,GSW,,SAC,L (-1),1,32:18:00,11,17,0.647,3,6,0.5,2,2,1,3,3,6,8,1,0,3,4,27,24.5,1
73,73,4/11/2011,23-028,GSW,@,DEN,L (-23),1,35:32:00,10,13,0.769,3,4,0.75,4,4,1,1,4,5,5,0,0,5,1,27,21.9,-8
74,74,4/13/2011,23-030,GSW,,POR,W (+24),1,24:09:00,7,11,0.636,2,4,0.5,2,2,1,0,3,3,9,0,0,1,4,18,17.7,16
